"index","associated_dis","associated_dis2","country_name","dis_subtype","dis_type","disaster_no","end_date","insur_dam","iso","location","start_date","total_affected","total_dam","total_deaths"
123,"--","--","Philippines","Tropical cyclone","Storm","1986-0104","02/09/1986","0","PHL","Pangasinan, Bataan, Bulacan, Pampanga, Benguet, Abra, Zambales, Metro Manila","02/09/1986","482704","13150","23"
124,"--","--","Philippines","Tropical cyclone","Storm","1986-0122","06/10/1986","0","PHL","Muntinlupa, Metro Manila, Bulacan","06/10/1986","82555","1200","22"
125,"--","--","Philippines","Tropical cyclone","Storm","1986-0151","10/10/1986","0","PHL","","10/10/1986","3134","1400","4"
126,"--","--","Philippines","Tropical cyclone","Storm","1986-0152","17/10/1986","0","PHL","","17/10/1986","308","36000","2"
127,"--","--","Philippines","Tropical cyclone","Storm","1986-0153","20/12/1986","0","PHL","","20/12/1986","26722","4000","16"
128,"--","--","Philippines","Tropical cyclone","Storm","1987-0146","08/08/1987","0","PHL","Batangas, Laguna, Bicol, Mindoro, Cavite, Luzon","08/08/1987","1269825","98600","85"
129,"--","--","Philippines","Tropical cyclone","Storm","1987-0197","21/10/1987","0","PHL","Cagayan, Ilocos Norte, Kalin-Aapayo province","21/10/1987","78979","25000","100"
130,"--","--","Philippines","Tropical cyclone","Storm","1987-0212","23/11/1987","0","PHL","Region IV, Marinduque, Quezon, Laguna, Batangas, Region V,  Sorgoson, Albay, Battan, Cavite, Masbaten Camarines Sur, Leyte, Northern Samar","23/11/1987","1819112","56000","882"
131,"--","--","Philippines","Tropical cyclone","Storm","1987-0239","13/08/1987","0","PHL","","13/08/1987","13336","5600","5"
132,"--","--","Philippines","Tropical cyclone","Storm","1987-0240","14/12/1987","0","PHL","","14/12/1987","56380","8500","22"
133,"--","--","Philippines","Tropical cyclone","Storm","1988-0231","30/05/1988","0","PHL","","30/05/1988","56000","1000","36"
134,"--","--","Philippines","Tropical cyclone","Storm","1988-0312","16/07/1988","0","PHL","Northern Luzon","16/07/1988","117355","11516","6"
135,"--","--","Philippines","Convective storm","Storm","1988-0477","21/10/1988","0","PHL","Mindanao/Misamis Oriental","21/10/1988","20000","0","0"
136,"--","--","Philippines","Tropical cyclone","Storm","1988-0480","21/10/1988","0","PHL","Tarlac, Southern Tagalog, Metro Manila, Albay, Cebu, Cagayan de Oro provinces","21/10/1988","3250208","240500","416"
137,"--","--","Philippines","Tropical cyclone","Storm","1988-0506","05/11/1988","0","PHL","Manilla, Tagalog, Bicol, western Visayas","05/11/1988","1045029","149060","289"
138,"--","--","Philippines","Tropical cyclone","Storm","1988-0557","01/11/1988","0","PHL","","01/11/1988","28913","940","41"
139,"--","--","Philippines","Tropical cyclone","Storm","1989-0120","15/07/1989","0","PHL","Ilocos Sur, Ilocos Norte, Cagayan, Isabela, Nueva Vizcaya, La Union","15/07/1989","486382","61000","97"
140,"--","--","Philippines","Tropical cyclone","Storm","1989-0125","09/10/1989","0","PHL","Albay, Bataan, Batangas, Bulacan, Camarines norte, Camarnies Sur, Cavite, Esatern Samar, Laguna, Marinduque, Masbate, Northern Leyte, Northern Samar, Nueva Ecija, Pampanga, Quezon, Rizal, Samar, Sorgoson, southern Leyte, Zambales, national capital region","09/10/1989","736605","59200","58"
141,"--","--","Philippines","Tropical cyclone","Storm","1989-0126","14/10/1989","0","PHL","Bataan, Benguet, Ifugao, Isabela, Kalinga-Apayao, La Union, Nueva Vizcaya, Pangasinan, Cagayan, Ilocios Sur, Neava Ecija, Quirino provinces, National capital region","14/10/1989","458679","35400","30"
